time,noun_eventive_intransitive,noun_eventive_transitive,noun_noneventive_intransitive,noun_noneventive_transitive,verb_eventive_intransitive,verb_eventive_transitive,verb_noneventive_intransitive,verb_noneventive_transitive
0.685,1.18404005,1.3040069563,1.3971412802,1.3568036035,1.1984861488,1.3309168494,1.2577767398,1.3161677358
0.69,1.1914710817,1.308226013,1.4067146389,1.3848610485,1.2393122994,1.3439396841,1.2314751467,1.4090798274
0.695,1.1844115761,1.3709593236,1.4495756956,1.404564661,1.3387859172,1.3413656202,1.1844737965,1.4557742717
0.7,1.1734047198,1.4241626636,1.5282301005,1.4193563595,1.4142944128,1.344824229,1.1881013055,1.4173677109
0.705,1.1560895333,1.414486659,1.5554879982,1.4368385739,1.4335928465,1.3695459546,1.2084782898,1.3389231377
0.71,1.1576064707,1.3903716062,1.570462344,1.4420855524,1.4060705107,1.398954023,1.2163025998,1.3389269611
0.715,1.1671381049,1.3704366639,1.5638648639,1.4365636682,1.3404059339,1.4503716175,1.2178190068,1.3915154112
0.72,1.1898316405,1.3928741416,1.5103308529,1.4674497716,1.2887146092,1.4645324963,1.2014496178,1.4572691343
0.725,1.2100353998,1.4583450791,1.469129579,1.5316391618,1.3183627124,1.4441562995,1.239528829,1.5105919258
0.73,1.229985981,1.5159562294,1.4250179084,1.5456315394,1.3778966964,1.452743019,1.3176712212,1.5158779118
0.735,1.2797360003,1.5159477328,1.3676354661,1.5410992464,1.3652519003,1.4515381215,1.3660762793,1.4835251715
0.74,1.276820347,1.4460087658,1.3634399991,1.5500522511,1.3226767191,1.3957013143,1.3296519863,1.4287907636
0.745,1.171852007,1.4248563942,1.3986989041,1.5608767232,1.3149748612,1.3258420873,1.2406185358,1.3930107613
0.75,1.1022738031,1.4276043356,1.4249305967,1.5630539112,1.3598044141,1.2827918139,1.2113747099,1.4234140013
0.755,1.1132865026,1.405620766,1.3985878997,1.5418579327,1.3708425817,1.3080096206,1.1889210271,1.4421384618
0.76,1.1441439181,1.4401120477,1.3970885401,1.5181276518,1.3073618705,1.3774386836,1.1687429705,1.4606363057
0.765,1.183651975,1.5182911116,1.4446046,1.4886266957,1.2578098067,1.4610107353,1.1978766909,1.5259684978
0.77,1.2538731516,1.5524291866,1.4972172882,1.4924093587,1.3169974698,1.5002234602,1.290403784,1.562640663
0.775,1.3459898632,1.5325659804,1.5042601126,1.5783403409,1.3433226575,1.4880742312,1.3444297384,1.5361520167
0.78,1.4301826469,1.5654295325,1.4457123106,1.6276132557,1.3748733818,1.4890280096,1.3733603304,1.5084833052
0.785,1.4603829715,1.5920660715,1.4147548939,1.5650881673,1.4156006726,1.518290395,1.397807659,1.4863439248
0.79,1.4518422906,1.6202953347,1.4360148754,1.5534504034,1.4026437773,1.5636628398,1.4311756777,1.4431192027
0.795,1.4618309474,1.6851821031,1.4458030268,1.6214433807,1.3829910464,1.6146951597,1.4701035379,1.4316639874
0.8,1.4672536709,1.6951283008,1.4583640654,1.67450454,1.4146077246,1.6358408872,1.454170364,1.425103807
0.805,1.4863458079,1.6485988565,1.4700036418,1.701107578,1.4593184631,1.6556138501,1.4098934175,1.4798621102
0.81,1.4669073,1.6042277749,1.4346495129,1.7179109067,1.5172724045,1.6611682753,1.4065193421,1.5043020975
0.815,1.4445806439,1.5791802476,1.4257402829,1.7299269147,1.559924623,1.6217104424,1.4092017331,1.5313212123
0.82,1.4910239739,1.6343090905,1.4675082671,1.760041793,1.5445704658,1.5792751852,1.3976934248,1.5568966927
0.825,1.5363630465,1.758112383,1.5940191427,1.7782074849,1.4961097565,1.5932033476,1.43359912,1.5142868873
0.83,1.5763272349,1.8276711605,1.7431840802,1.7875384877,1.4699849235,1.6475126255,1.439208259,1.4808159149
0.835,1.6549796703,1.8450100849,1.8207667181,1.8053620148,1.4780492915,1.714315923,1.3928871973,1.5275620292
0.84,1.7258737439,1.8108971462,1.7827011854,1.8311197339,1.475171432,1.6774442543,1.3977680085,1.620424299
0.845,1.7406367837,1.7190192742,1.7448560941,1.8766179607,1.4975206599,1.5722264339,1.4558691597,1.7143145608
0.85,1.6903705311,1.7097367703,1.7817031278,1.9167615028,1.5574293955,1.5609395235,1.5062146936,1.7653364797
0.855,1.6585653252,1.8031514448,1.8329159869,1.9240538365,1.6380569415,1.7026480189,1.5435207483,1.7615496839
0.86,1.6373244174,1.8665086716,1.8627209264,1.8660428492,1.6805064927,1.8446825005,1.5274049178,1.7410705042
0.865,1.6106916819,1.9016413069,1.8578057499,1.7833962149,1.6828336196,1.9316894668,1.5394238403,1.7293596093
0.87,1.6126519687,1.9138823795,1.8235926816,1.7570217622,1.63364679,1.8890822189,1.6019745598,1.7108178116
0.875,1.6025106391,1.8818646363,1.7680486704,1.7979889413,1.5919760784,1.7300657382,1.6147949771,1.7288485953
0.88,1.5853975907,1.8661546737,1.755381118,1.8532694034,1.5903634732,1.6676024756,1.5754582472,1.7752432475
0.885,1.607464217,1.8337779928,1.7528558519,1.8868894557,1.6123686879,1.7184389424,1.5910017377,1.8060179424
0.89,1.6223741483,1.7879201834,1.7136115036,1.8471418369,1.610595717,1.7374489015,1.6266850791,1.8181122689
0.895,1.5865174596,1.7802209972,1.7028952133,1.7788696052,1.5431099451,1.6957297772,1.6203280112,1.8319962774
0.9,1.5340722743,1.7712013187,1.7565657536,1.7808788121,1.4604353558,1.6467260116,1.5777286414,1.8106557818
0.905,1.5352350025,1.7185884199,1.7945893279,1.8196240902,1.439609727,1.6194147748,1.5558667624,1.7549154318
0.91,1.5796549082,1.733252907,1.7514561568,1.8396280074,1.5006300586,1.6240214422,1.5334021856,1.7116126988
0.915,1.6091756318,1.79970537,1.6529836243,1.8201807225,1.6018040615,1.6304070739,1.4895693983,1.6718625442
0.92,1.6390559162,1.8625417232,1.5993217421,1.7646995354,1.6568156832,1.6149266579,1.4972335372,1.6577872281
0.925,1.642114239,1.8972086546,1.6297156068,1.7611047774,1.6624407978,1.5974003842,1.5934894033,1.6770926949
0.93,1.6509390969,1.8361239951,1.6859746427,1.8324182505,1.6283436345,1.5999788453,1.6267971589,1.7156243482
0.935,1.6673742098,1.7213380518,1.7315701316,1.9139279041,1.6168462249,1.6367497407,1.560426444,1.7642283726
0.94,1.6003195272,1.6722968676,1.7522437066,1.958741161,1.6284692322,1.6886309268,1.4993229605,1.8052142623
0.945,1.5585341721,1.7146190341,1.7175816593,1.9079365378,1.6508301549,1.7268844789,1.4944233057,1.8333511349
0.95,1.6299439382,1.7721652288,1.6809390144,1.8616911025,1.6582822983,1.7486046153,1.5600610957,1.8394753893
